Survived,Pclass,Sex,SibSp,Parch,Cabin_Type,Below 10,Above 65,Fare2,Embarked_C,Embarked_S
1,3,0,0,0,1,0,0,-0.3948222581228012,0,0
0,3,1,0,0,1,0,0,-0.4647452864071758,0,0
1,3,1,0,0,1,0,0,-0.454684419028129,0,0
1,3,0,0,0,1,0,0,-0.489142889801364,0,0
0,1,1,0,0,1,0,0,0.3018928078761825,0,0
1,2,0,0,0,1,0,0,-0.4345626842700357,0,0
1,3,0,3,0,1,0,0,-0.326911403314236,0,0
0,3,1,1,3,1,0,0,0.045843733079444,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
1,1,0,3,2,0,0,0,4.646175342148545,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,3,1,0,0,1,0,0,-0.4878007700929992,0,0
0,1,1,1,0,0,0,0,0.5851062245963469,0,0
0,3,1,1,2,1,0,0,-0.2318362065822447,0,0
0,3,1,0,0,1,0,0,-0.4999583222338392,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,1,1,0,0,0,0,1,0.0514617214239037,1,0
1,1,1,0,1,0,0,0,0.6290380080936923,1,0
1,2,0,0,1,1,0,0,-0.1830409997938683,0,0
0,2,1,1,0,1,0,0,-0.1226757955195881,0,0
0,3,0,0,0,1,0,0,-0.4869637059270624,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,0,0
0,1,1,0,1,0,0,0,0.9093176758861266,0,0
0,3,1,0,0,1,0,0,-0.4717033822865245,0,0
0,3,1,2,0,1,0,0,-0.4863761512721261,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,0,0
1,3,0,0,0,1,0,0,-0.4919096283306018,0,0
1,3,1,0,0,1,0,0,-0.4893944114858402,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,0,0
1,3,0,1,0,1,0,0,-0.1599010048220609,0,0
0,1,1,0,0,0,0,0,0.40048930819084,0,0
0,3,0,1,0,1,0,0,-0.3549973206895828,1,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,3,0,1,0,1,0,0,-0.4481448552317487,0,0
0,3,0,0,0,1,0,0,-0.3549148215770746,1,0
0,3,1,0,0,1,0,0,-0.4863761512721261,0,0
0,3,1,0,0,1,0,1,-0.4898974548547925,0,0
0,2,1,1,0,1,0,0,-0.223284469310055,0,0
0,1,1,0,1,0,0,0,4.334706985481066,1,0
0,3,0,4,2,1,1,0,-0.0165336446706454,0,0
0,2,1,2,0,1,0,0,0.8331066054898479,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,2,1,1,0,1,0,0,-0.0407642376663415,1,0
1,2,0,0,0,0,0,0,-0.3842583473748022,0,0
0,1,1,0,1,0,0,0,0.9093176758861266,0,0
1,3,1,1,0,1,0,0,-0.4196383935999578,1,0
0,3,1,0,0,1,0,0,-0.4898974548547925,0,0
1,3,1,0,0,1,0,0,-0.5021375061081407,0,0
1,3,0,1,1,0,0,0,-0.1959531169881368,1,0
0,3,1,0,0,1,0,0,-0.5054917992923148,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,1,0
0,3,1,0,0,1,0,0,-0.5039826691854579,0,0
0,3,0,1,0,1,0,0,-0.3540757452376621,0,0
1,2,0,1,0,1,0,0,-0.1226757955195881,0,0
0,2,1,0,0,1,0,0,-0.3842583473748022,0,0
0,2,1,0,0,1,0,0,-0.3430933024066947,1,0
1,1,0,0,2,0,0,0,-0.1169753080626202,0,0
0,1,1,1,0,0,0,0,0.4226232164247428,0,0
0,3,1,0,0,1,0,0,-0.4603849064850969,0,0
0,1,1,0,0,0,0,0,0.9478004936109804,1,0
0,3,0,0,2,1,0,0,-0.3390689554550761,1,0
1,3,0,0,0,1,0,0,-0.4898974548547925,0,0
1,3,0,1,0,1,0,0,-0.326911403314236,0,0
0,3,1,0,0,1,0,0,-0.510019189612886,0,0
0,2,1,0,0,1,0,0,-0.4144409495119422,0,0
0,2,1,1,1,1,0,0,0.0936328531299158,0,0
1,3,1,0,0,1,0,0,-0.4889758794028718,0,0
0,3,0,2,2,1,1,0,0.045843733079444,0,0
0,2,1,0,2,0,0,0,-0.1226757955195881,0,0
0,2,1,0,0,1,0,0,-0.3842583473748022,0,0
0,2,1,0,0,1,0,0,-0.3938161713848966,0,0
1,1,0,1,0,0,0,0,0.6942666356590035,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,3,1,0,2,1,0,0,-0.3540757452376621,0,0
0,3,1,0,0,1,0,0,-0.4987007138114583,0,0
0,1,1,0,1,1,0,0,0.5892150828339495,1,0
1,3,0,0,0,1,0,0,-0.4902334878252526,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,3,1,0,0,1,0,0,-0.4715363718880322,0,0
0,3,1,8,2,1,0,0,0.7536257531953791,0,0
0,3,1,0,1,1,0,0,-0.3218809696247126,0,0
1,2,0,0,0,1,0,0,-0.3289235767900453,0,0
0,3,1,0,0,1,0,0,-0.4893944114858402,0,0
0,3,1,0,0,1,0,0,-0.4715363718880322,0,0
0,3,1,4,1,1,1,0,0.1527404489818151,0,0
1,3,1,0,2,1,1,0,-0.2328422933201494,0,0
1,1,0,0,1,0,0,0,0.4608545124651202,0,0
0,3,0,1,3,1,0,0,-0.0844444994792106,0,0
0,1,1,0,0,1,0,0,-0.1241849256264451,0,0
0,3,1,0,0,1,0,0,0.4909526033162764,0,0
0,1,1,0,0,0,0,0,0.0282372151661123,0,0
0,3,1,4,1,1,1,0,-0.0597953744005462,0,0
1,3,0,1,1,1,1,0,-0.4218195896477352,0,0
0,3,1,0,0,1,0,0,-0.4863761512721261,0,0
0,1,1,0,0,0,0,0,-0.0281881534425331,1,0
0,3,1,1,1,1,0,0,-0.4878007700929992,0,0
0,3,1,3,1,1,0,0,-0.1334067166660793,0,0
0,1,0,0,0,0,0,0,-0.0680955899882598,1,0
0,2,1,0,0,1,0,0,-0.3842583473748022,0,0
0,3,1,0,0,1,0,0,-0.6458408992300163,0,0
0,3,0,8,2,1,0,0,0.7536257531953791,0,0
0,2,1,0,0,1,0,0,-0.3430087911207107,1,0
0,3,1,4,2,1,1,0,-0.0142699495103599,0,0
1,2,1,2,1,0,1,0,0.138906756335626,0,0
1,3,0,0,2,1,1,0,-0.2026596911830093,0,0
0,1,1,0,0,0,0,0,0.3602458386746533,0,0
1,3,0,1,0,1,0,0,-0.3339540104795687,0,0
1,1,1,0,0,1,0,0,-0.1116088414026367,0,0
0,3,1,1,1,1,0,0,-0.3339540104795687,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,0,0
1,2,0,0,0,1,0,0,-0.3842583473748022,0,0
0,2,1,0,0,1,0,0,-0.3842583473748022,0,0
1,3,0,1,0,1,0,0,-0.4878007700929992,0,0
1,2,1,1,1,0,1,0,-0.1226757955195881,0,0
1,1,0,0,0,0,0,0,-0.088050314347861,1,0
1,1,0,0,0,0,0,0,2.302411774913634,1,0
0,3,1,0,0,1,0,0,-0.4898974548547925,0,0
0,3,1,0,1,1,0,0,-0.4767338159760478,0,0
1,3,0,0,0,1,0,0,-0.4898974548547925,0,0
0,2,0,0,0,1,0,0,-0.3842583473748022,0,0
0,3,1,0,0,1,0,0,-0.454684419028129,0,0
0,3,1,8,2,1,0,0,0.7536257531953791,0,0
0,3,1,0,0,1,0,0,-0.5151341345883933,0,0
0,3,1,0,0,1,0,0,-0.5004613656027915,1,0
1,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,3,0,0,1,0,1,0,-0.4353172493234642,0,0
0,3,1,1,0,1,0,0,-0.326911403314236,0,0
1,3,1,0,0,1,0,0,-0.2678038074623367,1,0
1,3,0,0,0,1,0,0,-0.4898974548547925,0,0
1,1,1,0,0,0,0,0,-0.0220671217291211,1,0
0,3,1,0,0,1,0,0,-0.5039826691854579,0,0
1,2,0,0,0,1,0,0,-0.223284469310055,0,0
0,3,1,0,0,1,0,0,-0.4999583222338392,0,0
0,2,1,0,0,1,0,0,-0.3842583473748022,0,0
0,3,1,1,0,1,0,0,-0.4898974548547925,0,0
1,1,0,1,0,0,0,0,1.6334486054930126,1,0
1,3,0,0,0,1,0,0,-0.4863761512721261,0,0
0,2,1,1,0,1,0,0,-0.1025540607614947,0,0
1,1,0,0,0,0,0,0,0.8892804524140174,1,0
0,2,1,0,0,1,0,0,-0.4345626842700357,0,0
1,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,2,1,0,0,1,0,0,-0.3842583473748022,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,0,0
1,1,1,1,0,0,0,0,1.165115228998389,0,0
0,3,1,0,0,1,0,0,-0.457702679241843,0,0
1,2,1,0,0,1,0,0,-0.4345626842700357,0,0
0,3,1,0,0,1,0,0,-0.4999583222338392,0,0
0,2,1,0,0,1,0,0,-0.3842583473748022,0,0
0,3,0,3,1,1,0,0,-0.1334067166660793,0,0
1,1,0,1,0,0,0,0,1.0338209097018294,0,0
0,3,1,0,0,1,0,0,-0.4893944114858402,0,0
0,2,1,0,0,1,0,0,-0.3741974799957555,0,0
1,3,0,4,2,1,1,0,-0.0142699495103599,0,0
0,2,1,0,0,1,0,0,-0.4345626842700357,0,0
0,3,0,0,0,1,0,0,-0.4939218018064111,0,0
0,2,1,1,0,1,0,0,-0.1226757955195881,0,0
1,2,0,0,2,1,1,0,-0.1176453618300647,0,0
0,2,1,0,0,1,0,0,-0.4345626842700357,0,0
0,2,1,0,0,1,0,0,-0.3988466050744199,0,0
0,3,0,1,0,1,0,0,-0.3549973206895828,1,0
1,3,0,1,0,1,0,0,-0.3339540104795687,0,0
0,2,1,0,0,1,0,0,-0.4345626842700357,0,0
0,3,1,0,0,1,0,0,-0.5024735390786009,0,0
0,3,1,0,0,1,0,0,-0.5004613656027915,1,0
0,1,1,2,0,0,0,0,1.165115228998389,0,0
0,3,0,0,0,1,0,0,-0.4893944114858402,0,0
1,2,0,0,2,1,0,0,-0.3540757452376621,0,0
1,1,1,1,1,0,0,0,0.4116407735937755,0,0
0,2,1,1,0,1,0,0,-0.1226757955195881,0,0
0,3,1,0,0,1,0,0,-0.4999583222338392,0,0
0,3,0,1,1,0,0,0,-0.4353172493234642,0,0
0,1,1,0,0,0,0,0,-0.1116088414026367,0,0
0,3,1,1,0,1,0,0,-0.3218809696247126,0,0
0,3,0,0,2,1,0,0,-0.2391303354320536,0,0
1,3,0,0,2,1,0,0,-0.3390689554550761,1,0
1,1,0,0,0,1,0,0,0.9478004936109804,1,0
1,1,0,0,0,0,0,0,1.094689157345062,0,0
1,1,0,0,0,1,0,0,9.663111371996164,1,0
1,2,0,0,1,1,0,0,-0.1226757955195881,0,0
0,3,1,0,0,1,0,0,-0.4898974548547925,0,0
1,3,1,4,2,1,1,0,-0.0142699495103599,0,0
0,1,1,1,1,0,0,0,0.9568552742521224,0,0
0,1,1,0,0,0,0,0,-0.6458408992300163,0,0
0,3,0,0,0,1,0,0,-0.4898974548547925,0,0
0,2,1,0,0,1,0,0,-0.4345626842700357,0,0
0,3,1,4,1,1,0,0,0.1527404489818151,0,0
1,3,1,1,0,1,0,0,-0.4893944114858402,0,0
1,1,0,0,1,0,0,0,2.442090821083891,0,0
1,1,0,0,0,0,0,0,2.083336387734892,0,0
0,1,1,0,0,1,0,0,-0.0220671217291211,0,0
1,3,1,0,0,1,0,0,-0.6458408992300163,0,0
1,2,0,0,1,1,0,0,-0.2534670714471951,0,0
0,1,1,0,1,0,0,0,-0.0482253769146425,1,0
1,3,0,0,0,1,0,0,-0.4898974548547925,0,0
1,1,0,1,0,0,0,0,0.9228153355618556,0,0
0,3,0,0,0,1,0,0,-0.4898974548547925,0,0
0,2,1,0,0,1,0,0,-0.6458408992300163,0,0
0,3,1,4,1,1,1,0,-0.0597953744005462,0,0
1,3,0,1,1,1,0,0,-0.2383757703786251,0,0
0,3,1,0,0,1,0,1,-0.4898974548547925,0,0
0,3,1,0,0,1,0,0,-0.4878007700929992,0,0
0,3,1,0,0,1,0,0,-0.454684419028129,0,0
1,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,1,1,0,0,0,0,0,-0.1226757955195881,0,0
0,3,1,0,0,1,0,0,-0.4715363718880322,1,0
1,3,1,0,0,1,0,0,-0.454684419028129,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,0,0
1,2,1,0,0,1,0,0,-0.3842583473748022,0,0
1,3,0,0,0,1,0,0,-0.4898974548547925,0,0
1,1,0,0,0,1,0,0,0.9407578864456476,0,0
1,1,0,1,0,0,0,0,1.1868306051493234,1,0
0,2,1,0,0,0,0,0,-0.3867735642195639,1,0
0,3,0,0,0,1,0,0,-0.4677635466208897,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,0,0
0,1,1,0,0,1,0,0,-0.088050314347861,1,0
0,3,1,0,0,1,0,0,-0.5003768543168076,1,0
0,1,0,1,2,0,1,0,2.403608003359037,0,0
1,1,1,0,0,0,0,0,-0.0321279891081678,0,0
1,1,0,0,1,0,0,0,4.334706985481066,1,0
1,3,0,0,0,1,0,0,-0.4898974548547925,0,0
1,3,1,2,0,1,0,0,-0.1780105661043449,0,0
0,3,1,0,0,1,0,0,-0.6458408992300163,0,0
1,2,0,0,0,0,0,0,-0.3973374749675629,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
1,1,1,1,2,0,1,0,2.403608003359037,0,0
1,1,0,0,0,1,0,0,1.585323452472081,1,0
1,1,0,1,0,0,0,0,1.545416015926354,1,0
0,2,1,1,0,1,0,0,-0.1629192650357749,1,0
1,1,0,0,0,0,0,0,0.499673363160434,1,0
1,1,0,0,0,0,0,0,1.0274483563039414,1,0
1,1,0,2,2,0,0,0,4.633599257924737,1,0
0,2,0,1,1,1,0,0,-0.1226757955195881,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,0,0
0,2,1,1,1,1,0,0,-0.1176453618300647,0,0
1,3,0,0,0,1,0,0,-0.4878007700929992,0,0
1,2,0,1,0,1,0,0,-0.1226757955195881,0,0
0,2,1,0,0,1,0,0,-0.3641366126167088,0,0
1,1,0,0,2,0,0,0,2.67156310861214,0,0
1,1,0,1,1,0,0,0,2.0605324257335447,1,0
0,3,1,0,0,1,0,0,-0.4999583222338392,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,0,0
1,2,0,0,0,1,0,0,-0.3973374749675629,0,0
1,2,0,1,1,1,0,0,-0.0623105912453079,0,0
0,3,1,8,2,1,0,0,0.7536257531953791,0,0
1,1,0,0,0,0,0,0,2.083336387734892,1,0
0,3,1,0,0,1,0,0,-0.5203315786764088,0,0
1,2,0,0,0,0,0,0,-0.3842583473748022,0,0
1,3,0,1,1,1,0,0,-0.2328422933201494,0,0
1,1,0,0,1,0,0,0,0.5208011846564321,1,0
1,3,0,2,0,1,0,0,-0.1780105661043449,0,0
0,1,1,0,0,0,0,0,-0.0723714586243546,0,0
0,1,1,0,1,0,0,0,2.442090821083891,0,0
0,3,1,2,0,1,0,0,-0.2836496735843352,0,0
1,1,0,1,0,1,0,0,2.0434289511891657,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,0,0
0,1,1,1,0,0,0,0,0.6942666356590035,0,0
1,1,0,0,0,0,0,0,2.0605324257335447,1,0
1,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,1,1,0,0,0,0,0,0.0684806846822991,0,0
1,2,1,1,1,0,1,0,-0.1226757955195881,0,0
1,1,0,3,2,0,0,0,4.646175342148545,0,0
0,2,1,0,0,1,0,0,-0.3842583473748022,0,0
0,2,1,0,0,1,0,0,-0.3842583473748022,0,0
0,2,1,0,0,1,0,0,-0.3842583473748022,0,0
1,2,0,0,0,0,0,0,-0.3842583473748022,0,0
1,2,0,0,0,1,0,0,-0.3842583473748022,0,0
1,3,0,1,0,1,0,0,-0.3218809696247126,0,0
1,3,1,1,1,1,1,0,-0.3259053165763313,0,0
0,3,1,0,0,1,0,0,-0.4715363718880322,0,0
0,3,1,0,0,1,0,0,-0.4602178960866047,0,0
0,1,1,0,0,0,0,0,0.0584198173032524,0,0
0,3,1,1,1,1,0,0,-0.5003768543168076,1,0
0,3,1,1,0,1,0,0,-0.2876740205359539,0,0
0,3,1,0,0,1,0,0,-0.5004613656027915,1,0
0,3,1,0,0,1,0,0,-0.454684419028129,0,0
1,1,0,0,1,0,0,0,0.4608545124651202,0,0
0,2,0,0,0,1,0,0,-0.3842583473748022,0,0
1,3,0,0,0,1,0,0,-0.4872977267240468,0,0
1,3,0,0,0,1,0,0,-0.4872977267240468,0,0
0,3,1,1,3,1,0,0,-0.0844444994792106,0,0
0,2,1,1,0,1,0,0,-0.088050314347861,1,0
0,3,0,0,1,1,0,0,-0.3549973206895828,1,0
0,3,1,0,0,1,0,0,-0.5039826691854579,0,0
0,3,1,1,0,1,0,0,-0.3339540104795687,0,0
0,3,1,0,0,1,0,0,-0.4999583222338392,0,0
1,1,0,1,0,0,0,0,0.8683196413165114,1,0
1,3,0,0,0,1,0,0,-0.5003768543168076,1,0
1,3,0,0,0,1,0,0,-0.4898974548547925,0,0
1,1,0,0,0,0,0,0,0.7485953195058557,1,0
1,1,1,1,0,0,0,0,0.46974228270777,1,0
0,3,1,1,0,1,0,0,-0.5151341345883933,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,1,1,0,0,1,0,0,2.083336387734892,1,0
0,3,0,3,1,1,1,0,-0.221775339203198,0,0
1,1,0,1,0,1,0,0,1.007578143230324,1,0
1,3,0,0,0,1,0,0,-0.4999583222338392,0,0
0,1,1,0,2,0,0,0,3.609906002106736,1,0
0,3,1,0,0,1,0,0,-0.5651024385131665,1,0
0,3,1,0,0,1,0,0,-0.4893944114858402,0,0
1,1,0,0,0,1,0,0,3.932356801605183,1,0
1,3,0,0,2,1,1,0,-0.3290905871885375,1,0
0,3,1,0,0,1,0,0,-0.4863761512721261,0,0
1,1,0,1,0,1,0,0,0.40048930819084,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,0,0
0,2,1,0,0,1,0,0,0.8331066054898479,0,0
0,3,1,5,2,1,1,0,0.2978684609245637,0,0
1,2,0,0,0,1,0,0,-0.3842583473748022,0,0
0,3,1,0,0,1,0,0,-0.4903159869377608,0,0
1,2,0,0,0,1,0,0,-0.4043800821328956,1,0
1,1,1,1,2,0,0,0,1.7687672717411906,0,0
1,3,1,0,0,1,0,0,-0.4889758794028718,0,0
0,3,1,2,0,1,0,0,-0.4863761512721261,0,0
1,1,0,1,0,0,0,0,1.6334486054930126,1,0
1,3,0,0,2,0,0,0,-0.3098079287698567,0,0
0,3,1,0,0,1,0,0,-0.4889758794028718,0,0
0,3,0,0,0,1,0,0,-0.4878007700929992,0,0
0,2,1,0,0,1,0,0,-0.1226757955195881,0,0
0,2,1,0,0,1,0,0,-0.4345626842700357,0,0
1,2,0,0,0,1,0,0,-0.3913009545401349,0,0
1,3,1,0,0,1,0,0,-0.4863761512721261,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,3,0,1,0,1,0,0,-0.4481448552317487,0,0
0,3,1,1,0,1,0,0,-0.326911403314236,0,0
0,3,0,0,0,1,0,0,-0.4715363718880322,0,0
0,2,1,1,0,1,0,0,-0.223284469310055,0,0
0,3,1,0,0,1,0,0,-0.4898974548547925,0,0
1,2,1,1,1,1,1,0,-0.2685583725157652,0,0
0,3,1,0,0,1,0,0,-0.4893944114858402,0,0
0,3,0,3,1,1,0,0,-0.1334067166660793,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,0,0
0,3,1,0,0,1,0,0,-0.5078400057385843,0,0
1,1,0,1,0,0,0,0,1.165115228998389,0,0
0,2,1,0,0,1,0,0,-0.6458408992300163,0,0
1,3,1,0,0,1,0,0,-0.4863761512721261,0,0
0,3,0,0,0,1,0,0,-0.4838609344273645,0,0
1,2,0,1,1,1,0,0,0.0081154804080189,0,0
1,2,0,0,2,1,0,0,-0.3842583473748022,0,0
0,2,1,0,0,1,0,0,-0.3842583473748022,0,0
0,3,0,0,2,1,1,0,-0.1599010048220609,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,1,0
0,3,1,0,0,1,0,0,-0.4902334878252526,0,0
0,3,1,0,0,1,0,0,-0.4873822380100308,0,0
0,3,0,1,1,1,0,0,-0.3560879187134715,0,0
0,3,1,1,1,1,0,0,-0.2391303354320536,0,0
0,3,1,0,0,1,0,0,-0.4999583222338392,0,0
1,2,0,1,0,1,0,0,-0.1226757955195881,0,0
1,2,0,0,0,1,0,0,-0.1226757955195881,0,0
0,3,1,0,0,1,0,0,-0.4898974548547925,0,0
1,3,1,0,0,0,0,0,-0.4838609344273645,0,0
1,1,1,0,0,0,0,0,-0.1116088414026367,0,0
1,3,0,1,0,1,0,0,-0.3218809696247126,0,0
1,2,0,1,0,1,0,0,-0.1226757955195881,0,0
0,3,1,0,0,1,0,0,-0.5024735390786009,0,0
0,1,1,1,0,0,0,0,0.4789640737474043,0,0
1,1,0,1,2,0,0,0,1.7687672717411906,0,0
0,3,0,2,2,1,0,0,0.045843733079444,0,0
1,2,0,2,3,1,0,0,-0.2685583725157652,0,0
0,1,1,1,3,0,0,0,4.646175342148545,0,0
0,2,1,0,0,1,0,0,-0.4345626842700357,0,0
1,2,0,1,1,1,0,0,-0.1176453618300647,0,0
0,3,1,0,0,1,0,0,-0.454684419028129,0,0
0,3,1,1,0,1,0,0,-0.4893944114858402,0,0
1,2,0,0,0,1,0,0,-0.3842583473748022,0,0
1,3,1,0,0,1,0,0,-0.4826033260049836,0,0
1,1,1,0,2,0,1,0,1.00129010111842,0,0
1,2,0,0,1,1,0,0,-0.2534670714471951,0,0
1,1,1,0,0,1,0,0,-0.1116088414026367,0,0
1,3,0,2,1,1,1,0,-0.2583304947382263,1,0
1,1,1,0,0,0,0,0,-0.0321279891081678,0,0
0,2,1,1,2,1,0,0,-0.0874627596929246,0,0
0,3,1,1,0,1,0,0,-0.2440762578355929,0,0
0,1,1,0,0,0,0,0,-0.0874627596929246,1,0
1,1,1,1,0,0,0,0,1.147090179002089,1,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
1,3,1,0,0,1,0,0,-0.4869637059270624,1,0
0,1,1,0,0,0,0,1,-0.1116088414026367,0,0
1,1,0,1,0,0,0,0,0.3977225696616022,0,0
1,2,0,0,0,1,0,0,-0.4345626842700357,0,0
0,3,1,0,0,1,0,0,-0.4898974548547925,0,0
1,1,1,0,0,0,0,0,-0.1116088414026367,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,1,1,0,0,0,0,0,0.1288458889565792,0,0
0,2,1,0,0,1,0,0,-0.3842583473748022,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,3,1,0,0,1,0,0,-0.5039826691854579,0,0
0,2,1,0,0,1,0,0,-0.6458408992300163,0,0
0,1,1,0,0,1,0,0,-0.1116088414026367,0,0
0,3,1,0,0,1,0,0,-0.4904004982237448,0,0
